Title,SKU,specs.wheel_sizes,specs.width_min,specs.width_max,specs.diameter_min,specs.diameter_max,specs.valve_type,specs.valve_length,specs.item_number,specs.execution,specs.material
"Schwalbe AV13AP 26"" Tube, Air Plus, Schrader Valve 40mm","10461570",,,,,,,,,,
"Schwalbe SV13AP 26"" Tube, Air Plus, Presta Valve 40mm","10461393",,,,,,,,,,
"Schwalbe SV13E 26"" Tube, Aerothan, Presta Valve 40mm","10400243",,,,,,,,,,
"Schwalbe AV13D 26"" Tube, Downhill, Schrader Valve 40mm","10425740",,,,,,,,,,
"Schwalbe AV13F TR4 26"" Tube, Downhill, Schrader Valve 40mm","10425790",,,,,,,,,,
"Schwalbe SV13F 26"" Tube, Freeride Lightweight, Presta Valve 40mm","10425793",,,,,,,,,,
"Schwalbe SV13J 26"" Tube, Presta Valve 40mm","10400193.01",,,,,,,,,,
"Schwalbe AV21AP 650B 27.5"" Tube, Air Plus, Schrader Valve 40mm","10461580",,,,,,,,,,
"Schwalbe SV21AP 650B 27.5"" Tube, Air Plus, Presta Valve 40mm","10461403",,,,,,,,,,
"Schwalbe SV21A 650B 27.5"" Tube, Extralight, Presta Valve 40mm","10400163",,,,,,,,,,
"Schwalbe 21E Tube, Aerothan, Presta Valve","10400253",,,,,,,,,,
"Schwalbe AV21+AP 650B 27.5"" Tube, Air Plus, Schrader Valve 40mm","10461590",,,,,,,,,,
"Schwalbe SV21F 650B 27.5"" Tube, Freeride, Presta Valve 40mm","10400073",,,,,,,,,,
"Schwalbe AV21F 27.5"" Tube, Freeride, Schrader Valve 40mm","10400030",,,,,,,,,,
"Schwalbe SV20E 700C 28"" Tube, Aerothan, Presta Valve 80mm","10461643",,,,,,,,,,
"Schwalbe SV21FE 650B 27.5"" Tube, Aerothan, Presta Valve 40mm","10400383",,,,,,,,,,
"Schwalbe AV7D 20"" Tube, Downhill Weight, Schrader Valve 40mm","10415740",,,,,,,,,,
"Schwalbe AV21 650B 27.5"" Tube, Schrader Valve 40mm","10400050",,,,,,,,,,
"Schwalbe SV20E 700C 28"" Tube, Aerothan, Presta Valve 60mm","10461693",,,,,,,,,,
"Schwalbe SV19AP 700C 28"" 29"" Tube, Air Plus, Presta Valve 40mm","10461433",,,,,,,,,,
"Schwalbe SV18 700C 28"" Tube, Extralight, Presta Valve 40mm","10428343",,,,,,,,,,
"Schwalbe AV19+AP 29"" Tube, Air Plus, Schrader Valve 40mm","10461620",,,,,,,,,,
"Schwalbe SV19+AP 29"" Tube, Air Plus, Presta Valve 40mm","10461443",,,,,,,,,,
"Schwalbe SV2 14"" 16"" Tube, Presta Valve 40mm","10407313",,,,,,,,,,
"Schwalbe SV5 18"" Tube, Presta Valve 40mm","10412313",,,,,,,,,,
"Schwalbe AV5 18"" Tube, Schrader Valve 40mm","10412310",,,,,,,,,,
"Schwalbe SV8 22"" Tube, Presta Valve 40mm","10417313",,,,,,,,,,
"Schwalbe AV8A 22"" Tube, Schrader Valve 40mm","10417240",,,,,,,,,,
"Schwalbe SV9A 24"" Tube, Presta Valve 40mm","10419213",,,,,,,,,,
"Schwalbe SV11A 26"" Tube, Presta Valve 40mm","",,,,,,,,,,
"Schwalbe AV11A 26"" Tube, Schrader Valve 40mm","10422240",,,,,,,,,,
"Schwalbe SV11 26"" Tube, Extralight, Presta Valve 60 mm","10422313",,,,,,,,,,
"Schwalbe SV11 26"" Tube, Extralight, Presta Valve 60mm","10422363",,,,,,,,,,
"Schwalbe AV11 650B 26"" Tube, Extralight, Schrader Valve 40mm","10422310",,,,,,,,,,
"Schwalbe AV12B 26"" Tube, Schrader Valve 40mm","4026495613552",,,,,,,,,,
"Schwalbe SV12B 650B 26"" Tube, Presta Valve 40mm","10423223",,,,,,,,,,
"Schwalbe SV19E 29"" Tube, Aerothan, Presta Valve 40mm","10400263",,,,,,,,,,
"Schwalbe SV19A 650B 700C 27.5"" 28"" 29"" Tube, Extralight, Presta Valve 40mm","10430943",,,,,,,,,,
"Schwalbe SV16E 700C 28"" Tube, Aerothan, Presta Valve 60 mm","10461703",,,,,,,,,,
"Schwalbe SV16E 700C 28"" Tube, Aerothan, Presta 80 mm","10461653",,,,,,,,,,
"Schwalbe SV16E 700C 28"" Tube, Aerothan, Presta Valve 40mm","10400423",,,,,,,,,,
"Schwalbe SV17E 700C 28"" Tube, Aerothan, Presta 60 mm","10461803",,,,,,,,,,
"Schwalbe SV17E Tube 700C 28"", Aerothan, Presta Valve 40mm","10461373",,,,,,,,,,
"Schwalbe SV19FE 29"" Tube, Aerothan, Presta Valve 40mm","10461173",,,,,,,,,,
"Schwalbe SV20 700C 28"" Tube, Extralight, Presta Valve 60mm","10426363",,,,,,,,,,
